pH,TDS,Turbidity,Temperature,Skin_Risk,Is_Potable
5.68,318,7.35,20.8,Safe (No Skin Risk),0
8.29,935,11.37,37.0,Severe Xerosis (Dry Skin Risk),0
9.31,312,0.22,20.9,Eczema / Skin Barrier Damage,0
7.61,876,1.33,29.6,Safe (No Skin Risk),0
7.44,659,10.75,41.1,Pseudomonas Folliculitis (Hot Tub Rash),0
5.57,901,11.36,19.0,Bacterial / Fungal Infection Risk,0
4.61,970,15.05,40.4,Acidic Irritant Contact Dermatitis,0
9.83,328,2.73,19.9,Eczema / Skin Barrier Damage,0
9.85,763,10.31,30.3,Eczema / Skin Barrier Damage,0
8.12,932,3.97,25.2,Severe Xerosis (Dry Skin Risk),0
6.2,311,1.95,41.1,Safe (No Skin Risk),0
6.27,1129,8.27,22.4,Safe (No Skin Risk),0
8.72,522,3.35,25.8,Eczema / Skin Barrier Damage,0
9.83,975,4.51,41.5,Eczema / Skin Barrier Damage,0
9.77,287,6.42,29.5,Eczema / Skin Barrier Damage,0
9.07,195,5.26,28.6,Eczema / Skin Barrier Damage,0
8.17,1110,1.84,22.0,Severe Xerosis (Dry Skin Risk),0
4.55,493,1.89,33.9,Acidic Irritant Contact Dermatitis,0
5.05,240,3.95,15.4,Acidic Irritant Contact Dermatitis,0
9.84,163,1.11,16.3,Eczema / Skin Barrier Damage,0
7.94,40,12.57,31.2,Bacterial / Fungal Infection Risk,0
4.06,1007,5.82,24.2,Acidic Irritant Contact Dermatitis,0
4.66,894,5.67,40.7,Acidic Irritant Contact Dermatitis,0
8.31,679,6.71,39.4,Severe Xerosis (Dry Skin Risk),0
4.03,230,13.29,34.3,Acidic Irritant Contact Dermatitis,0
5.05,555,17.43,37.1,Acidic Irritant Contact Dermatitis,0
7.57,481,15.21,33.0,Pseudomonas Folliculitis (Hot Tub Rash),0
8.5,182,14.58,18.4,Bacterial / Fungal Infection Risk,0
8.24,572,9.74,35.7,Safe (No Skin Risk),0
5.46,266,13.91,20.7,Acidic Irritant Contact Dermatitis,0
8.63,988,11.1,23.7,Eczema / Skin Barrier Damage,0
5.54,499,4.4,37.1,Safe (No Skin Risk),0
6.12,590,4.25,29.5,Safe (No Skin Risk),0
8.85,432,6.0,38.2,Eczema / Skin Barrier Damage,0
8.22,884,18.22,20.8,Severe Xerosis (Dry Skin Risk),0
9.52,249,10.99,31.4,Eczema / Skin Barrier Damage,0
8.27,1178,14.7,17.3,Severe Xerosis (Dry Skin Risk),0
7.69,685,7.0,32.4,Safe (No Skin Risk),0
4.61,258,8.21,35.6,Acidic Irritant Contact Dermatitis,0
6.39,446,2.6,30.8,Safe (No Skin Risk),0
5.72,927,3.51,22.2,Safe (No Skin Risk),0
5.59,597,16.56,15.8,Bacterial / Fungal Infection Risk,0
10.32,589,11.74,18.2,Eczema / Skin Barrier Damage,0
6.56,181,6.82,31.8,Safe (No Skin Risk),0
9.8,651,16.08,40.2,Eczema / Skin Barrier Damage,0
8.1,540,5.01,20.6,Safe (No Skin Risk),0
9.17,879,19.52,34.8,Eczema / Skin Barrier Damage,0
7.27,741,6.96,38.4,Safe (No Skin Risk),0
7.75,635,6.81,29.1,Safe (No Skin Risk),0
7.2,320,6.31,33.1,Safe (No Skin Risk),0
5.27,463,2.53,37.0,Acidic Irritant Contact Dermatitis,0
8.7,895,2.31,22.0,Eczema / Skin Barrier Damage,0
5.83,309,13.0,23.0,Bacterial / Fungal Infection Risk,0
4.16,193,17.51,15.0,Acidic Irritant Contact Dermatitis,0
8.2,653,15.83,41.0,Severe Xerosis (Dry Skin Risk),0
5.15,701,2.91,39.8,Acidic Irritant Contact Dermatitis,0
10.11,122,10.96,35.6,Eczema / Skin Barrier Damage,0
10.2,986,2.2,17.1,Eczema / Skin Barrier Damage,0
9.95,938,1.0,27.1,Eczema / Skin Barrier Damage,0
6.41,323,13.16,17.8,Bacterial / Fungal Infection Risk,0
4.1,1019,10.75,15.4,Acidic Irritant Contact Dermatitis,0
10.03,212,1.73,31.6,Eczema / Skin Barrier Damage,0
6.78,1126,0.8,40.9,Safe (No Skin Risk),0
10.28,1136,19.8,39.4,Eczema / Skin Barrier Damage,0
10.26,802,0.7,33.8,Eczema / Skin Barrier Damage,0
9.54,672,8.95,17.6,Eczema / Skin Barrier Damage,0
5.91,826,10.14,22.4,Bacterial / Fungal Infection Risk,0
6.5,982,2.43,23.6,Safe (No Skin Risk),0
9.53,1051,3.46,35.6,Eczema / Skin Barrier Damage,0
6.06,437,7.1,36.7,Safe (No Skin Risk),0
5.1,1183,15.26,25.4,Acidic Irritant Contact Dermatitis,0
7.62,973,10.19,26.3,Bacterial / Fungal Infection Risk,0
10.09,715,12.79,16.2,Eczema / Skin Barrier Damage,0
8.52,975,19.7,22.8,Eczema / Skin Barrier Damage,0
7.71,504,15.38,27.2,Bacterial / Fungal Infection Risk,0
4.63,325,8.74,18.2,Acidic Irritant Contact Dermatitis,0
8.0,304,8.98,27.2,Safe (No Skin Risk),0
10.44,359,12.41,38.0,Eczema / Skin Barrier Damage,0
4.91,712,13.34,30.7,Acidic Irritant Contact Dermatitis,0
7.37,859,10.06,17.1,Bacterial / Fungal Infection Risk,0
9.7,128,12.93,20.2,Eczema / Skin Barrier Damage,0
8.81,860,0.57,27.8,Eczema / Skin Barrier Damage,0
8.53,1040,8.65,24.8,Eczema / Skin Barrier Damage,0
8.57,373,5.65,24.7,Eczema / Skin Barrier Damage,0
6.34,261,2.67,29.3,Safe (No Skin Risk),0
5.91,80,2.08,30.8,Safe (No Skin Risk),0
9.26,107,12.1,36.5,Eczema / Skin Barrier Damage,0
9.27,1027,10.52,24.2,Eczema / Skin Barrier Damage,0
9.64,553,5.15,36.7,Eczema / Skin Barrier Damage,0
9.94,1190,9.47,24.1,Eczema / Skin Barrier Damage,0
7.32,734,9.9,16.5,Safe (No Skin Risk),0
7.26,1079,3.98,30.0,Safe (No Skin Risk),0
9.19,516,13.08,30.9,Eczema / Skin Barrier Damage,0
8.22,1125,15.64,40.2,Severe Xerosis (Dry Skin Risk),0
8.56,920,15.85,34.6,Eczema / Skin Barrier Damage,0
9.17,471,12.09,39.8,Eczema / Skin Barrier Damage,0
9.79,307,10.28,39.5,Eczema / Skin Barrier Damage,0
6.2,1098,1.31,31.3,Safe (No Skin Risk),0
6.44,818,5.83,29.2,Safe (No Skin Risk),0
4.61,533,1.96,30.1,Acidic Irritant Contact Dermatitis,0
7.76,700,19.28,41.4,Pseudomonas Folliculitis (Hot Tub Rash),0
4.23,1052,2.79,35.9,Acidic Irritant Contact Dermatitis,0
7.03,1098,3.12,17.9,Safe (No Skin Risk),0
7.53,1016,17.8,36.0,Pseudomonas Folliculitis (Hot Tub Rash),0
5.86,521,18.88,19.6,Bacterial / Fungal Infection Risk,0
7.84,767,15.34,27.1,Bacterial / Fungal Infection Risk,0
4.2,519,0.21,20.7,Acidic Irritant Contact Dermatitis,0
4.24,1128,0.13,33.6,Acidic Irritant Contact Dermatitis,0
9.35,1071,7.62,38.7,Eczema / Skin Barrier Damage,0
6.34,382,2.95,22.8,Safe (No Skin Risk),0
4.83,371,0.47,17.2,Acidic Irritant Contact Dermatitis,0
7.39,477,9.33,23.1,Safe (No Skin Risk),0
9.0,213,18.87,33.2,Eczema / Skin Barrier Damage,0
5.4,598,6.54,23.9,Acidic Irritant Contact Dermatitis,0
8.05,566,13.26,22.5,Bacterial / Fungal Infection Risk,0
4.55,698,13.08,20.0,Acidic Irritant Contact Dermatitis,0
4.34,65,5.1,28.4,Acidic Irritant Contact Dermatitis,0
7.45,859,13.04,22.5,Bacterial / Fungal Infection Risk,0
7.51,644,4.33,34.7,Safe (No Skin Risk),0
8.14,445,2.53,17.1,Safe (No Skin Risk),1
8.72,271,14.06,32.9,Eczema / Skin Barrier Damage,0
10.34,572,2.36,21.4,Eczema / Skin Barrier Damage,0
7.36,544,19.94,28.2,Bacterial / Fungal Infection Risk,0
6.1,218,3.75,22.7,Safe (No Skin Risk),0
9.17,171,11.92,34.5,Eczema / Skin Barrier Damage,0
5.76,387,8.29,40.5,Safe (No Skin Risk),0
6.85,579,2.62,39.8,Safe (No Skin Risk),0
4.51,811,0.65,30.8,Acidic Irritant Contact Dermatitis,0
4.16,115,12.49,27.5,Acidic Irritant Contact Dermatitis,0
10.26,618,16.15,37.1,Eczema / Skin Barrier Damage,0
9.43,893,16.86,33.4,Eczema / Skin Barrier Damage,0
8.52,233,9.71,20.0,Eczema / Skin Barrier Damage,0
6.66,386,15.57,37.2,Pseudomonas Folliculitis (Hot Tub Rash),0
5.13,990,13.49,26.6,Acidic Irritant Contact Dermatitis,0
5.02,1150,14.51,20.1,Acidic Irritant Contact Dermatitis,0
5.63,253,9.9,22.6,Safe (No Skin Risk),0
7.57,612,12.7,22.2,Bacterial / Fungal Infection Risk,0
8.64,819,16.13,29.0,Eczema / Skin Barrier Damage,0
8.29,301,8.02,21.3,Safe (No Skin Risk),0
5.82,769,16.14,18.3,Bacterial / Fungal Infection Risk,0
10.21,322,11.88,18.3,Eczema / Skin Barrier Damage,0
8.8,401,3.4,30.7,Eczema / Skin Barrier Damage,0
7.6,480,0.59,34.8,Safe (No Skin Risk),1
7.98,132,7.32,23.7,Safe (No Skin Risk),0
6.73,792,10.98,15.9,Bacterial / Fungal Infection Risk,0
5.61,906,16.81,18.4,Bacterial / Fungal Infection Risk,0
6.31,181,2.64,39.7,Safe (No Skin Risk),0
8.93,788,16.02,28.3,Eczema / Skin Barrier Damage,0
4.09,692,17.27,27.2,Acidic Irritant Contact Dermatitis,0
4.75,740,3.1,16.0,Acidic Irritant Contact Dermatitis,0
4.3,1037,17.05,34.7,Acidic Irritant Contact Dermatitis,0
4.26,88,19.83,29.3,Acidic Irritant Contact Dermatitis,0
9.56,920,14.56,20.5,Eczema / Skin Barrier Damage,0
8.57,1199,15.72,18.0,Eczema / Skin Barrier Damage,0
7.08,594,19.89,25.4,Bacterial / Fungal Infection Risk,0
4.64,443,12.15,37.6,Acidic Irritant Contact Dermatitis,0
7.2,931,6.23,38.4,Safe (No Skin Risk),0
7.08,904,16.77,31.3,Bacterial / Fungal Infection Risk,0
5.13,641,12.33,34.6,Acidic Irritant Contact Dermatitis,0
6.82,380,11.67,18.1,Bacterial / Fungal Infection Risk,0
6.59,743,5.15,30.9,Safe (No Skin Risk),0
8.0,357,15.15,33.0,Pseudomonas Folliculitis (Hot Tub Rash),0
8.13,657,1.73,20.4,Severe Xerosis (Dry Skin Risk),0
4.29,421,18.49,38.8,Acidic Irritant Contact Dermatitis,0
6.43,272,6.58,20.3,Safe (No Skin Risk),0
8.07,856,2.64,23.5,Severe Xerosis (Dry Skin Risk),0
7.27,592,8.9,31.8,Safe (No Skin Risk),0
9.57,895,0.95,32.2,Eczema / Skin Barrier Damage,0
8.28,858,13.72,33.9,Severe Xerosis (Dry Skin Risk),0
5.06,222,18.06,18.0,Acidic Irritant Contact Dermatitis,0
4.46,1104,16.76,37.9,Acidic Irritant Contact Dermatitis,0
8.18,436,2.63,29.4,Safe (No Skin Risk),1
4.17,818,2.61,27.7,Acidic Irritant Contact Dermatitis,0
7.81,946,16.29,41.5,Pseudomonas Folliculitis (Hot Tub Rash),0
10.11,166,18.49,35.0,Eczema / Skin Barrier Damage,0
7.74,40,9.27,18.2,Safe (No Skin Risk),0
6.52,58,10.03,35.4,Pseudomonas Folliculitis (Hot Tub Rash),0
8.18,623,6.43,17.6,Severe Xerosis (Dry Skin Risk),0
6.98,495,17.9,15.7,Bacterial / Fungal Infection Risk,0
7.55,996,12.93,25.9,Bacterial / Fungal Infection Risk,0
10.12,1172,5.84,41.8,Eczema / Skin Barrier Damage,0
6.51,484,6.05,19.7,Safe (No Skin Risk),0
10.25,641,17.83,33.2,Eczema / Skin Barrier Damage,0
9.88,142,0.37,19.7,Eczema / Skin Barrier Damage,0
5.27,1027,6.52,34.6,Acidic Irritant Contact Dermatitis,0
4.45,559,11.13,28.6,Acidic Irritant Contact Dermatitis,0
4.66,898,3.05,33.4,Acidic Irritant Contact Dermatitis,0
4.12,213,1.93,20.5,Acidic Irritant Contact Dermatitis,0
4.61,1044,16.32,35.1,Acidic Irritant Contact Dermatitis,0
8.44,470,17.9,41.9,Pseudomonas Folliculitis (Hot Tub Rash),0
4.46,766,16.49,33.0,Acidic Irritant Contact Dermatitis,0
6.07,889,17.99,28.3,Bacterial / Fungal Infection Risk,0
9.49,1029,11.11,39.9,Eczema / Skin Barrier Damage,0
4.15,678,16.26,15.4,Acidic Irritant Contact Dermatitis,0
9.29,459,7.74,34.7,Eczema / Skin Barrier Damage,0
5.83,633,13.36,39.0,Pseudomonas Folliculitis (Hot Tub Rash),0
4.77,524,19.78,16.7,Acidic Irritant Contact Dermatitis,0
8.53,451,4.59,27.2,Eczema / Skin Barrier Damage,0
8.09,975,7.86,20.5,Severe Xerosis (Dry Skin Risk),0
9.7,1147,9.65,30.3,Eczema / Skin Barrier Damage,0
8.78,1176,2.85,32.5,Eczema / Skin Barrier Damage,0
9.22,371,1.71,23.2,Eczema / Skin Barrier Damage,0
5.83,694,16.61,27.4,Bacterial / Fungal Infection Risk,0
5.15,80,19.54,22.5,Acidic Irritant Contact Dermatitis,0
8.88,998,8.15,25.0,Eczema / Skin Barrier Damage,0
9.24,144,1.84,19.3,Eczema / Skin Barrier Damage,0
10.44,241,1.41,38.9,Eczema / Skin Barrier Damage,0
6.68,489,17.84,15.3,Bacterial / Fungal Infection Risk,0
6.42,949,9.33,38.8,Safe (No Skin Risk),0
9.05,249,6.47,30.4,Eczema / Skin Barrier Damage,0
6.22,602,9.58,24.0,Safe (No Skin Risk),0
10.05,1181,6.43,34.5,Eczema / Skin Barrier Damage,0
9.58,752,9.83,28.7,Eczema / Skin Barrier Damage,0
6.79,810,17.21,28.5,Bacterial / Fungal Infection Risk,0
8.88,1147,11.89,18.0,Eczema / Skin Barrier Damage,0
8.9,493,13.92,25.5,Eczema / Skin Barrier Damage,0
4.67,706,7.36,21.5,Acidic Irritant Contact Dermatitis,0
9.87,668,14.8,15.4,Eczema / Skin Barrier Damage,0
7.28,426,13.37,24.7,Bacterial / Fungal Infection Risk,0
9.37,335,2.48,17.4,Eczema / Skin Barrier Damage,0
6.08,297,11.5,21.9,Bacterial / Fungal Infection Risk,0
9.82,1144,5.21,17.5,Eczema / Skin Barrier Damage,0
6.53,307,16.1,17.7,Bacterial / Fungal Infection Risk,0
4.07,458,8.58,20.4,Acidic Irritant Contact Dermatitis,0
9.88,274,19.89,42.0,Eczema / Skin Barrier Damage,0
4.59,1025,1.94,15.1,Acidic Irritant Contact Dermatitis,0
6.08,613,15.63,32.2,Pseudomonas Folliculitis (Hot Tub Rash),0
10.18,88,13.51,18.8,Eczema / Skin Barrier Damage,0
10.18,1190,15.37,39.9,Eczema / Skin Barrier Damage,0
7.73,262,6.22,17.5,Safe (No Skin Risk),0
8.11,960,9.89,40.8,Severe Xerosis (Dry Skin Risk),0
6.91,316,15.95,31.5,Bacterial / Fungal Infection Risk,0
5.91,1170,4.73,15.0,Safe (No Skin Risk),0
6.14,459,4.6,39.1,Safe (No Skin Risk),0
8.37,650,11.07,29.1,Severe Xerosis (Dry Skin Risk),0
8.89,414,10.52,22.1,Eczema / Skin Barrier Damage,0
9.15,112,5.72,35.7,Eczema / Skin Barrier Damage,0
9.13,1093,6.03,40.0,Eczema / Skin Barrier Damage,0
4.59,234,5.63,28.1,Acidic Irritant Contact Dermatitis,0
7.21,886,15.45,23.5,Bacterial / Fungal Infection Risk,0
4.37,1104,13.07,36.3,Acidic Irritant Contact Dermatitis,0
7.57,1126,16.67,33.4,Pseudomonas Folliculitis (Hot Tub Rash),0
6.87,62,19.51,39.0,Pseudomonas Folliculitis (Hot Tub Rash),0
9.77,399,9.54,33.7,Eczema / Skin Barrier Damage,0
